 CNT SHA   X   Y RAD  RX  RY  CX  CY   W   H   R   G   B  OP
   0   1 296  89  70  27  17 220 328  54  11  63 216  90 0.9
   1   1 406   8  64  19  18  23 482  23  99  11 175  13 0.1
   2   2 315 424  74  25  24  27   4  26  22 114 199 249 0.9
   3   2 348 496  92  15  22 403 430  13  45 218 128 200 0.1
   4   0 328  64  44  18  24 259 303  16  77 168   6 143 0.4
   5   1  66 390  70  24  11 496  72  42  40 144 194 205 0.4
   6   1 174 243  98  16  14 101 449  98  70  31 252 177 0.9
   7   0 222 200  66  22  29  34 259  37  37 202   9   9 0.4
   8   3 463 494  40  10  10 394 151  79  72 167  52 154 0.2
   9   1 343 241  44  24  27 379 498  10  71 231 228 141 0.5
